id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14842,"Best location Portobello entire house, can sleep 3",58344,Hilary,,Dublin City,53.33105695798236,-6.2691632720685275,Entire home/apt,119,7,37,2018-08-16,0.42,1,312
43908,Double bed private bathroom breakfast included,192060,Ciara,,Dublin City,53.34216018600635,-6.241150565670583,Private room,90,2,94,2018-08-27,0.95,1,0
44077,cosy comfortable Irish cottage twin,193005,Teresa,,Dn Laoghaire-Rathdown,53.289949615142916,-6.258125977535832,Private room,50,3,172,2018-10-09,1.86,3,294
46517,"Sth Dublin, Ballycullen nr Firhouse/Rathfarnham",208080,Nica,,South Dublin,53.276973349801686,-6.324079605851244,Private room,35,1,2,2015-10-25,0.05,1,303
68483,Unique Central Dublin River-view,339817,John,,Dublin City,53.345012594944485,-6.265523972186864,Entire home/apt,88,3,98,2018-08-13,1.07,1,139
71813,Your flat in the Heart of Dublin(1),273380,Nicolas,,Dublin City,53.34578459356979,-6.263169476740284,Entire home/apt,150,2,84,2016-06-06,0.97,2,0
78443,Dublin,421216,Tine,,Dn Laoghaire-Rathdown,53.311632667994246,-6.2401664342304395,Private room,65,1,1,2012-09-04,0.01,1,229
85148,Habitación en Dublín Double room,466111,Don,,South Dublin,53.30110209741604,-6.3199243352469034,Private room,30,1,0,,,1,342
85156,Cosy Comfortable Irish Cottage  1 Double Bed,193005,Teresa,,Dn Laoghaire-Rathdown,53.29178001336844,-6.256175215296663,Private room,50,2,122,2018-10-07,1.35,3,18
97259,One of a Kind Funky Fresh Loft Style Apartment,514949,Michael,,Dublin City,53.34236464563955,-6.314966968217517,Private room,60,2,39,2018-09-25,1.25,1,109
121030,Comfy double room in central area 1,608225,Norah,,Dublin City,53.336483128600165,-6.220745206478078,Private room,55,2,109,2018-08-12,1.22,3,106
159889,Friendly Single Room,766611,Margaret,,Dublin City,53.389881429810345,-6.236198134978925,Private room,30,2,241,2018-10-15,3.01,3,310
162809,5.5 miles south of Dublin City :^),777681,Robbie,,Dn Laoghaire-Rathdown,53.28444585562221,-6.190942953813776,Private room,55,1,191,2018-10-05,4.64,2,342
163398,Home from Home Apartment near city,779989,Breda,,Dublin City,53.33844714835633,-6.305050020518426,Entire home/apt,85,58,76,2018-10-01,0.87,1,227
165828,Pádraig Pearse apt. Kilmainham,790601,Grainne,,Dublin City,53.3362974097932,-6.32439198275551,Entire home/apt,147,3,28,2018-07-29,0.33,5,339
