id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1632,On the roofs of Venice / Top floor,1801,William,Isole,San Marco,45.438395743905204,12.33657119964169,Entire home/apt,136,3,53,2018-09-24,1.10,1,30
6623,Venice Blue on Canal apartment,15016,Francesca,Isole,San Polo,45.43823328054841,12.32902341176553,Entire home/apt,162,5,154,2018-06-14,1.42,3,295
6624,Venice garden charme and canal view!,15016,Francesca,Isole,San Polo,45.43845173637327,12.328689457986727,Entire home/apt,272,5,51,2018-02-28,0.60,3,347
12074,Venice home to relax and emotions,15016,Francesca,Isole,San Polo,45.43827219463779,12.327640494834839,Entire home/apt,122,5,175,2018-09-23,1.70,3,272
27116,Charming room with balcony close to S. Mark's,116144,Gianni,Isole,San Marco,45.43221460061223,12.334111602953751,Private room,190,1,372,2018-09-25,3.74,2,307
27574,MINI APARTMENT 30 MT FROM GRAND CANAL,119219,Elisa,Isole,Santa Croce,45.44031251854868,12.323134536184364,Entire home/apt,94,2,224,2018-09-23,2.25,6,37
32261,"Venice, close to Biennale exhibition",139420,Maura,Isole,Castello,45.43451333792966,12.356501944228254,Entire home/apt,80,3,116,2018-09-20,1.29,1,329
33934,LOVELY APARTMENT IN THE CENTER,119219,Elisa,Isole,Cannaregio,45.44480173034443,12.33121154906904,Entire home/apt,103,2,118,2018-09-16,1.20,6,73
44527,Luxury sunny gothic apartment on canal,120215,Marc & Elisabeth,Isole,Cannaregio,45.4475391526058,12.32918077262331,Entire home/apt,300,2,56,2018-08-12,0.62,1,356
44998,Furlani Loft for up to 6,198581,Laura,Isole,Castello,45.43853910169675,12.34958828061086,Entire home/apt,200,5,5,2013-09-25,0.05,7,230
45036,San Toma Apartment - Venice,198581,Laura,Isole,San Polo,45.43722789138038,12.324505860143297,Entire home/apt,120,3,12,2013-07-26,0.12,7,230
46054,Fuseri Apartment -Canal view,198581,Laura,Isole,San Marco,45.434394330168644,12.335087077464504,Entire home/apt,260,2,39,2017-04-11,0.45,7,230
46158,Mini Flat Fuseri - Venice,198581,Laura,Isole,San Marco,45.4346791500784,12.33613038318846,Entire home/apt,120,3,3,2016-04-12,0.08,7,230
46171,Apartment Cà d'Oro - Canal view,198581,Laura,Isole,Cannaregio,45.44184891077019,12.333552616382255,Entire home/apt,110,3,11,2015-10-04,0.11,7,230
47383,Ca' Barba B&B: room n102 (jacuzzi shower),214390,Alessandro,Isole,San Polo,45.43846159542777,12.332354549977016,Private room,143,2,229,2018-09-03,2.34,4,321
47549,Ca' Barba Apartment,215652,Caterina E Alessandro,Isole,Dorsoduro,45.43540907283569,12.32460234868886,Entire home/apt,160,2,132,2018-08-19,1.56,2,176
49656,Ca' Foscari Apartment ,226598,Andrea,Isole,Dorsoduro,45.43504540373044,12.326684373060113,Entire home/apt,90,3,59,2018-10-05,0.82,2,320
51847,Furlani Apartment,198581,Laura,Isole,Castello,45.43546491855216,12.346358388680038,Entire home/apt,130,7,7,2016-09-27,0.09,7,230
55968,Great canal view close to S.Marco ,264845,Paola,Isole,Castello,45.43649483198438,12.3472596688058,Entire home/apt,130,3,61,2018-09-20,0.68,4,338
56687,Waterfront Charm in Central Venice,268967,Renato,Isole,Cannaregio,45.44524798042958,12.331660549410385,Entire home/apt,150,3,43,2018-09-23,0.57,1,318
60007,Apartament alla Fenice a Venezia,288678,Furio,Isole,San Marco,45.43301543209786,12.332002695417502,Entire home/apt,180,2,154,2018-06-25,1.70,1,277
60020,Bed and Breakfast (Website hidden by Airbnb),288785,Nicola,Isole,Santa Croce,45.44059022227762,12.329522396061927,Private room,80,2,12,2018-04-10,0.13,2,352
60304,B&B  Venice Casa Baseggio,290452,Marco,Isole,Cannaregio,45.443336434238745,12.334832927361042,Private room,90,1,125,2018-08-17,1.42,2,234
60490,OROLOGIO LUXURY APT-ST MARK'S SQR,289615,Faville - Juice,Isole,San Marco,45.435796012859754,12.339540370533161,Entire home/apt,116,1,56,2018-09-02,0.63,137,326
60494,S.MARK-2/5 PAX CANAL VIEW,289615,Faville - Juice,Isole,San Marco,45.43344058846114,12.330846293187465,Entire home/apt,90,1,72,2018-09-22,0.80,137,336
60498,BIENNALE WITH CANAL VIEW 2 BEDROOMS  - CASTELLO,289615,Faville - Juice,Isole,Castello,45.437734034471575,12.348336153991113,Entire home/apt,90,1,63,2018-08-18,0.67,137,322
61714,B&B AL CANAL VENICE canal view,289023,Francesca,Isole,Giudecca,45.4281731482018,12.319199794866773,Private room,73,2,242,2018-10-01,2.61,3,326
